"","zip_code","count_april2023","count_april2024","difference","pct_change","primary_city","county","estimated_population"
"398",21793,18,19,1,5.55555555555556,"Walkersville","Frederick County",8844
"399",21794,1,1,0,0,"West Friendship","Howard County",2181
"400",21795,36,29,-7,-19.4444444444444,"Williamsport","Washington County",7944
"401",21797,18,23,5,27.7777777777778,"Woodbine","Howard County",7881
"402",21798,7,7,0,0,"Woodsboro","Frederick County",2188
"403",21801,106,108,2,1.88679245283019,"Salisbury","Wicomico County",20691
"404",21802,2,0,-2,-100,"Salisbury","Wicomico County",1035
"405",21804,152,155,3,1.97368421052632,"Salisbury","Wicomico County",27098
"406",21811,219,218,-1,-0.45662100456621,"Berlin","Worcester County",18797
"407",21813,24,30,6,25,"Bishopville","Worcester County",2464
"408",21814,1,1,0,0,"Bivalve","Wicomico County",0
"409",21817,21,11,-10,-47.6190476190476,"Crisfield","Somerset County",3900
"410",21821,0,1,1,Inf,"Deal Island","Somerset County",826
"411",21822,17,5,-12,-70.5882352941177,"Eden","Somerset County",2353
"412",21826,21,20,-1,-4.76190476190476,"Fruitland","Wicomico County",3806
"413",21829,0,3,3,Inf,"Girdletree","Worcester County",439
"414",21830,10,11,1,10,"Hebron","Wicomico County",3392
"415",21835,1,0,-1,-100,"Linkwood","Dorchester County",0
"416",21837,10,7,-3,-30,"Mardela Springs","Wicomico County",2123
"417",21838,2,5,3,150,"Marion Station","Somerset County",1537
"418",21840,5,3,-2,-40,"Nanticoke","Wicomico County",0
"419",21841,9,4,-5,-55.5555555555556,"Newark","Worcester County",736
"420",21842,202,217,15,7.42574257425743,"Ocean City","Worcester County",9748
"421",21843,1,0,-1,-100,"Ocean City","Worcester County",1138
"422",21849,12,13,1,8.33333333333333,"Parsonsburg","Wicomico County",2797
"423",21850,19,21,2,10.5263157894737,"Pittsville","Wicomico County",2290
"424",21851,41,38,-3,-7.31707317073171,"Pocomoke City","Worcester County",5977
"425",21853,36,34,-2,-5.55555555555556,"Princess Anne","Somerset County",6140
"426",21856,6,3,-3,-50,"Quantico","Wicomico County",805
"427",21861,4,2,-2,-50,"Sharptown","Wicomico County",686
"428",21862,2,2,0,0,"Showell","Worcester County",0
"429",21863,31,27,-4,-12.9032258064516,"Snow Hill","Worcester County",3963
"430",21864,1,4,3,300,"Stockton","Worcester County",522
"431",21865,2,1,-1,-50,"Tyaskin","Wicomico County",0
"432",21869,4,3,-1,-25,"Vienna","Dorchester County",755
"433",21871,6,8,2,33.3333333333333,"Westover","Somerset County",1524
"434",21872,10,7,-3,-30,"Whaleyville","Worcester County",604
"435",21874,13,17,4,30.7692307692308,"Willards","Wicomico County",1866
"436",21875,19,17,-2,-10.5263157894737,"Delmar","Wicomico County",5235
"437",21901,56,64,8,14.2857142857143,"North East","Cecil County",12892
"438",21902,1,0,-1,-100,"Perry Point","Cecil County",0
"439",21903,23,12,-11,-47.8260869565217,"Perryville","Cecil County",4847
"440",21904,19,19,0,0,"Port Deposit","Cecil County",5905
"441",21911,26,25,-1,-3.84615384615385,"Rising Sun","Cecil County",9243
"442",21912,1,0,-1,-100,"Warwick","Cecil County",941
"443",21913,2,3,1,50,"Cecilton","Cecil County",648
"444",21914,0,1,1,Inf,"Charlestown","Cecil County",680
"445",21915,4,4,0,0,"Chesapeake City","Cecil County",2604
"446",21917,2,4,2,100,"Colora","Cecil County",2256
"447",21918,11,11,0,0,"Conowingo","Cecil County",3628
"448",21919,10,9,-1,-10,"Earleville","Cecil County",2486
"449",21921,91,112,21,23.0769230769231,"Elkton","Cecil County",33457
"450",21922,0,1,1,Inf,"Elkton","Cecil County",752
