"","geoid","place","county","state","variable","x2010","x2016","x2020","diff_2020_2010","diff_2020_2016"
"1","2404000","Baltimore city"," Maryland",NA,"number_households",238392,242416,242499,4107,83
"2","2404000","Baltimore city"," Maryland",NA,"percap_income",23333,27129,32699,9366,5570
