"","GEOID","Place","State","year","total","yes_internet","no_internet","pct_no"
"491","2477825","Thurmont town"," Maryland","2020",2590,2260,285,11.003861003861
"492","2477912","Tilghman Island CDP"," Maryland","2020",365,318,47,12.8767123287671
"493","2477925","Tilghmanton CDP"," Maryland","2020",141,61,80,56.7375886524823
"494","2478050","Timonium CDP"," Maryland","2020",3954,3500,272,6.87910976226606
"495","2478120","Tolchester CDP"," Maryland","2020",183,176,7,3.82513661202186
"496","2478425","Towson CDP"," Maryland","2020",21013,19132,1198,5.70123257031362
"497","2478575","Trappe town"," Maryland","2020",521,418,88,16.8905950095969
"498","2478650","Travilah CDP"," Maryland","2020",3635,3525,86,2.36588720770289
"499","2478705","Trego-Rohrersville Station CDP"," Maryland","2020",33,33,0,0
"500","2479225","Tyaskin CDP"," Maryland","2020",69,69,0,0
"501","2479350","Union Bridge town"," Maryland","2020",439,328,92,20.9567198177677
"502","2479675","University Park town"," Maryland","2020",957,933,24,2.50783699059561
"503","2479875","Upper Marlboro town"," Maryland","2020",276,264,9,3.26086956521739
"504","2479900","Urbana CDP"," Maryland","2020",3693,3693,0,0
"505","2480075","Vale Summit CDP"," Maryland","2020",65,65,0,0
"506","2480600","Vienna town"," Maryland","2020",143,131,8,5.59440559440559
"507","2481175","Waldorf CDP"," Maryland","2020",28360,25767,1860,6.55853314527503
"508","2481250","Walker Mill CDP"," Maryland","2020",4171,3403,631,15.1282666027332
"509","2481275","Walkersville town"," Maryland","2020",2468,2163,272,11.0210696920583
"510","2481675","Washington Grove town"," Maryland","2020",283,271,6,2.12014134275618
"511","2481925","Waterview CDP"," Maryland","2020",10,10,0,0
"512","2482625","West Denton CDP"," Maryland","2020",8,8,0,0
"513","2482750","Westernport town"," Maryland","2020",695,542,140,20.1438848920863
"514","2483025","West Laurel CDP"," Maryland","2020",1412,1330,77,5.45325779036827
"515","2483100","Westminster city"," Maryland","2020",7321,5869,1187,16.2136320174839
"516","2483225","West Ocean City CDP"," Maryland","2020",1966,1798,112,5.69684638860631
"517","2483290","Westphalia CDP"," Maryland","2020",3309,3111,174,5.25838621940163
"518","2483337","West Pocomoke CDP"," Maryland","2020",227,172,46,20.2643171806167
"519","2483746","Whaleyville CDP"," Maryland","2020",24,12,12,50
"520","2483775","Wheaton CDP"," Maryland","2020",15864,14671,1006,6.34140191628845
"521","2484225","Whitehaven CDP"," Maryland","2020",75,75,0,0
"522","2484350","White Marsh CDP"," Maryland","2020",3658,3421,198,5.41279387643521
"523","2484375","White Oak CDP"," Maryland","2020",5551,5076,333,5.99891911367321
"524","2484784","Wildewood CDP"," Maryland","2020",2658,2522,70,2.63355906696764
"525","2484950","Willards town"," Maryland","2020",407,289,112,27.5184275184275
"526","2485100","Williamsport town"," Maryland","2020",869,684,161,18.5270425776755
"527","2485175","Williston CDP"," Maryland","2020",68,68,0,0
"528","2485395","Wilson-Conococheague CDP"," Maryland","2020",875,649,168,19.2
"529","2486275","Woodland CDP"," Maryland","2020",24,7,17,70.8333333333333
"530","2486475","Woodlawn CDP (Baltimore County)"," Maryland","2020",14753,12883,1244,8.43218328475564
"531","2486525","Woodlawn CDP (Prince George's County)"," Maryland","2020",1875,1598,254,13.5466666666667
"532","2486710","Woodmore CDP"," Maryland","2020",1642,1535,90,5.48112058465286
"533","2486750","Woodsboro town"," Maryland","2020",416,368,48,11.5384615384615
"534","2487000","Worton CDP"," Maryland","2020",57,57,0,0
"535","2487150","Yarrowsburg CDP"," Maryland","2020",79,79,0,0
"536","2487275","Zihlman CDP"," Maryland","2020",157,131,26,16.5605095541401
