"","tract","zip","cty","tot_pop","age_above65","age_below18","median_age","white","black","asian","edu_highschool","edu_bachelor","edu_graduate","income_0to10k","income_10to50k","income_50to100k","income_100to200k","income_200k","income_median","income_per_capita","occupation_management","occupation_sales","occupation_naturalresource","occupation_production","census_response_rate2020","census_response_rate2010","nbanks_zip","pct_anymembershp_zip","census","county","USPS","ANSICODE","NAME","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"1",24001000100,NA,24001,3590,0.214484679665738,0.199721448467967,48.5549860724234,0.961559888579387,0.0245125348189415,0.00947075208913649,0.500187617260788,0.131707317073171,0.0412757973733583,0.0934579439252336,0.467957276368491,0.31241655540721,0.104806408544726,0.0213618157543391,42836.2209612817,21713.6869158879,0.26686004350979,0.181290790427846,0.134880348078318,0.160986221899927,0.622999966144562,0.649999976158142,NA,NA,"24001000100",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"2",24001000200,21502,24001,4069,0.138854755468174,0.108626198083067,42.8413615138855,0.7136888670435,0.225608257557139,0.0105677070533301,0.478471801091571,0.0994542146755609,0.0418435415403275,0.0470588235294118,0.505042016806723,0.311764705882353,0.129411764705882,0.00672268907563025,46735.8521008403,24173.3831932773,0.238420652999241,0.239179954441913,0.100987091875475,0.178435839028094,0.706999957561493,0.729624629020691,10,0.551935017108917,"24001000200",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"3",24001000300,21502,24001,2596,0.179892141756549,0.216872110939908,45.6102850539291,0.964175654853621,0.0184899845916795,0,0.403191489361702,0.167553191489362,0.0670212765957447,0.0738963531669866,0.527831094049904,0.23320537428023,0.165067178502879,0,41032.6535508637,23170.736084453,0.256756756756757,0.371101871101871,0.0686070686070686,0.122661122661123,NA,0.698555707931519,10,0.551935017108917,"24001000300",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"4",24001000400,21502,24001,2798,0.189421015010722,0.230879199428163,42.6404574696212,0.898856325947105,0.0718370264474625,0.00250178699070765,0.37918410041841,0.208682008368201,0.0857740585774059,0.0329861111111111,0.563368055555556,0.221354166666667,0.147569444444444,0.0347222222222222,42019.9027777778,24656.5590277778,0.376124284546198,0.286181520850368,0.080130825838103,0.140637775960752,NA,0.675912857055664,10,0.551935017108917,"24001000400",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"5",24001000500,21502,24001,2401,0.210329029571012,0.145356101624323,46.7057059558517,0.770512286547272,0.149104539775094,0,0.442506811989101,0.123705722070845,0.0490463215258856,0.207226354941552,0.465462274176408,0.223166843783209,0.0818278427205101,0.0223166843783209,32749.958554729,17300.087141339,0.261764705882353,0.311764705882353,0.0602941176470588,0.207352941176471,0.455999970436096,0.675912857055664,10,0.551935017108917,"24001000500",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"6",24001000600,21502,24001,2921,0.107839780896953,0.195138651146868,42.2149263950702,0.950359465936323,0.0369736391646696,0.00650462170489558,0.439077936333699,0.205268935236004,0.0450054884742042,0.0747812251392204,0.52903739061257,0.322195704057279,0.0620525059665871,0.0119331742243437,39447.9005568815,21091.184566428,0.373134328358209,0.185074626865672,0.105223880597015,0.128358208955224,0.664000034332275,0.690999984741211,10,0.551935017108917,"24001000600",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"7",24001000700,21502,24001,3514,0.165907797381901,0.239043824701195,37.5968696642003,0.900682982356289,0.0674445076835515,0,0.507389162561576,0.101209135691894,0.0429914912673533,0.145512820512821,0.678846153846154,0.155128205128205,0.0205128205128205,0,27240.2826923077,14933.3865384615,0.112331081081081,0.368243243243243,0.0236486486486486,0.213682432432432,0.627000033855438,0.71699994802475,10,0.551935017108917,"24001000700",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"8",24001000800,21502,24001,2366,0.104818258664413,0.281910397295013,33.1436601859679,0.869822485207101,0.0452240067624683,0.00422654268808115,0.457543859649123,0.0659649122807018,0.0350877192982456,0.140642303433001,0.575858250276855,0.241417497231451,0.0299003322259136,0.0121816168327796,28410.1162790698,15319.6511627907,0.121693121693122,0.184126984126984,0.117460317460317,0.223280423280423,0.532999992370605,0.641999959945679,10,0.551935017108917,"24001000800",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"9",24001001000,21502,24001,2411,0.173786810452095,0.167150559933638,48.3236831190377,0.907922024056408,0.0800497718788884,0.0037328909166321,0.411993337034981,0.111049416990561,0.0366463076068851,0.115577889447236,0.68676716917923,0.137353433835846,0.0603015075376884,0,23174.2596314908,16813.8961474037,0.132969034608379,0.356102003642987,0.063752276867031,0.0856102003642987,0.515999972820282,0.698555707931519,10,0.551935017108917,"24001001000",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"10",24001001100,21502,24001,1367,0.205559619604974,0.16020482809071,49.1,0.911485003657645,0.06949524506218,0.00585223116313094,0.358,0.26,0.122,0.143061516452074,0.50071530758226,0.274678111587983,0.0815450643776824,0,32721,22275,0.371517027863777,0.275541795665635,0.0479876160990712,0.0913312693498452,0.577000021934509,0.641999959945679,10,0.551935017108917,"24001001100",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
