"","tract","zip","cty","tot_pop","age_above65","age_below18","white","black","asian","hispanic","edu_highschool","edu_bachelor","edu_graduate","income_0to10k","income_10to50k","income_50to100k","income_100to200k","income_200k","occupation_management","occ_svc","occupation_sales","occupation_naturalresource","occupation_production","median_age","income_median","income_per_capita","census_response_rate2020","census_response_rate2010","nbanks_zip","pct_anymembershp_zip","census","neighborhood","object_id"
"1","24510110200",21201,24510,5547,0.118622678925545,0.025238867856499,0.617991707229133,0.233639805300162,0.0755363259419506,0.0728321615287543,0.10798626019751,0.696436238729068,0.421854873336196,0.111617923262678,0.451301314730346,0.275556748054736,0.112154547893748,0.0493694660584921,0.768855127509495,0.121269669017906,0.0911557243624525,0.0124796527400977,0.00623982637004883,35.6000360555255,43601.1719881943,41524.4244700832,0.526,0.64,14,0.515982031822205,"110200","Midtown",103
"2","24510170100",21201,24510,1594,0.0903387703889586,0.119196988707654,0.284818067754078,0.659347553324969,0.00878293601003764,0.0194479297365119,0.193522906793049,0.337282780410742,0.166666666666667,0.214430894308943,0.523373983739837,0.208333333333333,0.0457317073170732,0.00813008130081301,0.407142857142857,0.232142857142857,0.297619047619048,0.0107142857142857,0.0523809523809524,39.3702007528231,28613.5609756098,24308.5396341463,0.565,0.63,14,0.515982031822205,"170100","Downtown/Seton Hill",126
"3","24510040200",21201,24510,835,0.0203592814371257,0.0275449101796407,0.474251497005988,0.332934131736527,0.135329341317365,0.0526946107784431,0.0687830687830688,0.796296296296296,0.333333333333333,0.181467181467181,0.285714285714286,0.413127413127413,0.0888030888030888,0.0308880308880309,0.623376623376623,0.184415584415584,0.174025974025974,0,0.0181818181818182,24.4,52361,20935,0.401,0.57,14,0.515982031822205,"040200","Downtown/Seton Hill",23
"4","24510170200",21201,24510,3001,0.102299233588804,0.285238253915362,0.0683105631456181,0.891369543485505,0.0193268910363212,0.00199933355548151,0.325998841922409,0.119281991893457,0.060799073537927,0.403641881638847,0.484066767830046,0.0872534142640364,0.0250379362670713,0,0.244005641748942,0.404795486600846,0.23836389280677,0,0.112834978843441,29.5394535154948,13803.6009104704,10825.4992412747,0.502,0.62,14,0.515982031822205,"170200","Upton/Druid Heights",131
"5","24510170300",21201,24510,1827,0.141215106732348,0.22495894909688,0.0120415982484948,0.95511767925561,0.0229885057471264,0.00437876299945265,0.273275862068966,0.187931034482759,0.0905172413793103,0.212877792378449,0.466491458607096,0.23784494086728,0.0565045992115637,0.026281208935611,0.398591549295775,0.157746478873239,0.277464788732394,0.0211267605633803,0.145070422535211,36.6285714285714,31404.9894875164,18977.9434954008,0.491,0.69,14,0.515982031822205,"170300","Upton/Druid Heights",134
"6","24510040100",21201,24510,3868,0.0261116856256463,0.0411065149948294,0.548862461220269,0.14865563598759,0.203205791106515,0.0744570837642192,0.0928030303030303,0.786300505050505,0.424873737373737,0.161956034096007,0.274113952445043,0.376401973979363,0.134140870345446,0.0533871691341409,0.792098962490024,0.0638467677573823,0.129688747007183,0,0.014365522745411,28.5595398138573,55258.269179004,42436.4522207268,0.519,0.68,14,0.515982031822205,"040100","Downtown/Seton Hill",20
"7","24510090900",21202,24510,2673,0.110736999625889,0.312757201646091,0.0366629255518144,0.953984287317621,0,0.060231949120838,0.462882096069869,0.0548970679975047,0.0187149095446039,0.154320987654321,0.576131687242798,0.208847736625514,0.0606995884773663,0,0.202115158636898,0.352526439482961,0.171562867215041,0.0164512338425382,0.257344300822562,32.286531986532,20434.4135802469,14005.2572016461,0.407,0.63,11,0.473399996757507,"090900","Oliver/Johnson Square",106
"8","24510100100",21202,24510,2275,0.121318681318681,0.253186813186813,0.0193406593406593,0.977582417582418,0.00263736263736264,0,0.47171052631579,0.0723684210526316,0.00789473684210526,0.292626728110599,0.506912442396313,0.16705069124424,0.0334101382488479,0,0.179824561403509,0.431286549707602,0.242690058479532,0.0482456140350877,0.097953216374269,36.3693186813187,22793.698156682,11606.3732718894,0.495,0.68,11,0.473399996757507,"100100","Oliver/Johnson Square",44
"9","24510110100",21202,24510,3315,0.0615384615384615,0.0159879336349925,0.649773755656109,0.18552036199095,0.102564102564103,0.0479638009049774,0.0571888844140153,0.623842126459928,0.36045106725735,0.0907205806117159,0.417833074131674,0.350959046137895,0.120787973043027,0.0196993260756869,0.621515508441304,0.130349430702788,0.194738908519827,0,0.0533961523360817,29.0579788838612,46286.6054950752,35162.4556765163,0.62,0.72,11,0.473399996757507,"110100","Midtown",99
"10","24510100300",21202,24510,4696,0.0055366269165247,0.00234241908006814,0.157793867120954,0.796422487223169,0.00617546848381601,0.0434412265758092,0.388293248333816,0.017676035931614,0.00202839756592292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA,NA,NA,11,0.473399996757507,"100300","Unassigned -- Jail",95
