"","GEOID","Place","State","year","total","yes_internet","no_internet"
"100","2416050","Chesapeake Ranch Estates CDP"," Maryland","2020",3242,3035,194
"101","2416125","Chester CDP"," Maryland","2020",1881,1645,154
"102","2416225","Chestertown town"," Maryland","2020",2134,1426,586
"103","2416550","Cheverly town"," Maryland","2020",2617,2465,152
"104","2416620","Chevy Chase town"," Maryland","2020",1006,1006,0
"105","2416625","Chevy Chase CDP"," Maryland","2020",3710,3507,196
"106","2416720","Chevy Chase Section Five village"," Maryland","2020",237,224,11
"107","2416730","Chevy Chase Section Three village"," Maryland","2020",270,266,4
"108","2416775","Chevy Chase View town"," Maryland","2020",342,334,8
"109","2416787","Chevy Chase Village town"," Maryland","2020",679,648,20
"110","2416800","Chewsville CDP"," Maryland","2020",102,102,0
"111","2416875","Chillum CDP"," Maryland","2020",10252,9002,1130
"112","2417000","Choptank CDP"," Maryland","2020",22,14,8
"113","2417050","Church Creek town"," Maryland","2020",46,30,16
"114","2417100","Church Hill town"," Maryland","2020",339,248,45
"115","2417350","Clarksburg CDP"," Maryland","2020",7851,7688,81
"116","2417475","Clarysville CDP"," Maryland","2020",19,0,19
"117","2417600","Clear Spring town"," Maryland","2020",188,131,50
"118","2417900","Clinton CDP"," Maryland","2020",12473,11595,638
"119","2418150","Cloverly CDP"," Maryland","2020",4848,4673,151
"120","2418200","Cobb Island CDP"," Maryland","2020",474,427,35
"121","2418250","Cockeysville CDP"," Maryland","2020",9671,8784,749
"122","2418475","Colesville CDP"," Maryland","2020",4949,4670,227
"123","2418750","College Park city"," Maryland","2020",7620,6559,461
"124","2418850","Colmar Manor town"," Maryland","2020",422,388,32
"125","2419125","Columbia CDP"," Maryland","2020",41261,38730,1966
"126","2419825","Coral Hills CDP"," Maryland","2020",3483,2887,508
"127","2419900","Cordova CDP"," Maryland","2020",205,180,25
"128","2419975","Corriganville CDP"," Maryland","2020",278,135,143
"129","2420050","Cottage City town"," Maryland","2020",433,333,73
"130","2420500","Crellin CDP"," Maryland","2020",35,8,13
"131","2420525","Cresaptown CDP"," Maryland","2020",972,774,153
"132","2420775","Crisfield city"," Maryland","2020",1072,853,215
"133","2420875","Crofton CDP"," Maryland","2020",10235,9991,133
"134","2420925","Croom CDP"," Maryland","2020",908,804,94
"135","2421075","Crownsville CDP"," Maryland","2020",591,504,87
"136","2421150","Crumpton CDP"," Maryland","2020",164,144,20
"137","2421325","Cumberland city"," Maryland","2020",8279,6398,1553
"138","2421475","Damascus CDP"," Maryland","2020",5565,5192,184
"139","2421550","Dames Quarter CDP"," Maryland","2020",38,33,5
"140","2421675","Danville CDP"," Maryland","2020",274,274,0
"141","2421750","Dargan CDP"," Maryland","2020",56,56,0
"142","2421800","Darlington CDP"," Maryland","2020",213,177,36
"143","2421825","Darnestown CDP"," Maryland","2020",2293,2277,16
"144","2421925","Dawson CDP"," Maryland","2020",30,20,10
"145","2422050","Deale CDP"," Maryland","2020",1779,1635,144
"146","2422100","Deal Island CDP"," Maryland","2020",190,114,72
"147","2422275","Deer Park town"," Maryland","2020",147,130,8
"148","2422600","Delmar town"," Maryland","2020",1282,1141,141
"149","2422725","Denton town"," Maryland","2020",1421,1301,91
"150","2422775","Derwood CDP"," Maryland","2020",640,634,6
"151","2422825","Detmold CDP"," Maryland","2020",187,170,17
"152","2423025","District Heights city"," Maryland","2020",2039,1811,171
"153","2423500","Downsville CDP"," Maryland","2020",316,279,37
"154","2423700","Drum Point CDP"," Maryland","2020",917,885,15
"155","2423975","Dundalk CDP"," Maryland","2020",23536,19770,3369
"156","2424050","Dunkirk CDP"," Maryland","2020",715,678,37
"157","2424200","Eagle Harbor town"," Maryland","2020",36,29,7
"158","2424250","Eakles Mill CDP"," Maryland","2020",0,0,0
"159","2424450","East New Market town"," Maryland","2020",134,87,46
"160","2424475","Easton town"," Maryland","2020",7387,6353,938
"161","2424650","East Riverdale CDP"," Maryland","2020",4317,3554,604
"162","2424825","Eckhart Mines CDP"," Maryland","2020",216,201,15
"163","2424850","Eden CDP"," Maryland","2020",388,205,183
"164","2424925","Edesville CDP"," Maryland","2020",79,66,13
"165","2424950","Edgemere CDP"," Maryland","2020",3334,2929,335
"166","2425000","Edgemont CDP"," Maryland","2020",99,99,0
"167","2425050","Edgewater CDP"," Maryland","2020",3643,3466,161
"168","2425150","Edgewood CDP"," Maryland","2020",9047,7802,980
"169","2425425","Edmonston town"," Maryland","2020",386,322,62
"170","2425575","Eldersburg CDP"," Maryland","2020",10661,10067,495
