Year,State,Zip Code,Count of Claimants
April-2024,GA,30180,2
April-2023,GA,30188,1
April-2023,GA,30189,1
April-2024,GA,30228,2
April-2024,GA,30238,1
April-2023,GA,30248,1
April-2023,GA,30252,2
April-2024,GA,30252,2
April-2024,GA,30253,1
April-2023,GA,30305,1
April-2023,GA,30316,2
April-2024,GA,30318,1
April-2024,GA,30324,1
April-2023,GA,30326,1
April-2023,GA,30345,1
April-2023,GA,30349,1
April-2023,GA,30467,1
April-2023,GA,30606,1
April-2024,GA,30809,1
April-2023,GA,30906,1
April-2023,GA,30907,1
April-2023,GA,30909,1
April-2024,GA,31021,1
April-2023,GA,31088,1
April-2024,GA,31093,1
April-2024,GA,31401,1
April-2023,GA,31501,1
April-2024,GA,31545,1
April-2023,GA,31548,1
April-2023,GA,31721,1
April-2024,GA,31804,1
April-2023,HI,96701,1
April-2023,HI,96706,1
April-2023,HI,96734,1
April-2023,HI,96797,1
April-2024,HI,96797,2
April-2024,IA,52803,1
April-2024,ID,83607,1
April-2024,IL,60160,1
April-2024,IL,60188,1
April-2024,IL,60504,1
April-2024,IL,60515,1
April-2024,IL,60526,1
April-2024,IL,60555,1
April-2024,IL,60607,1
April-2024,IL,60615,2
April-2024,IL,60624,1
April-2023,IL,60633,1
April-2023,IL,61109,1
April-2023,IL,61301,1
April-2023,IL,61834,1
April-2024,IN,46227,1
April-2024,IN,46304,1
April-2024,IN,46703,1
April-2024,IN,47906,1
April-2024,KS,66211,1
April-2023,KS,67460,1
April-2023,LA,70364,1
April-2023,LA,70394,1
April-2024,LA,70506,1
April-2023,LA,70529,1
April-2024,LA,70611,1
April-2023,LA,70769,1
April-2023,LA,70815,1
April-2024,LA,70816,1
April-2024,LA,71001,1
April-2023,LA,71111,1
April-2023,LA,71263,1
April-2024,LA,71263,1
April-2023,LA,71433,2
April-2024,LA,71433,1
April-2024,MA,01073,1
April-2023,MA,01569,1
April-2024,MA,01609,1
April-2023,MA,01908,1
April-2024,MA,02050,1
April-2023,MA,02132,1
April-2023,MA,02170,1
April-2024,MA,02332,1
April-2024,MA,02343,1
April-2023,MA,02360,2
April-2023,MA,21655,1
April-2023,MD,04702,1
April-2023,MD,17331,1
April-2023,MD,20003,1
April-2023,MD,20065,1
April-2024,MD,20074,1
April-2023,MD,20142,1
April-2023,MD,20148,1
April-2024,MD,20208,1
April-2024,MD,20273,1
April-2023,MD,20601,67
April-2024,MD,20601,97
April-2023,MD,20602,83
April-2024,MD,20602,85
April-2023,MD,20603,81
April-2024,MD,20603,86
April-2024,MD,20606,1
April-2023,MD,20607,34
April-2024,MD,20607,31
April-2023,MD,20608,3
April-2024,MD,20608,3
April-2023,MD,20609,4
April-2024,MD,20609,2
April-2023,MD,20611,2
April-2024,MD,20611,3
April-2023,MD,20612,1
April-2023,MD,20613,24
April-2024,MD,20613,43
April-2023,MD,20615,3
April-2024,MD,20615,4
April-2023,MD,20616,26
April-2024,MD,20616,24
April-2023,MD,20617,3
April-2024,MD,20617,5
April-2023,MD,20618,3
April-2024,MD,20618,2
April-2023,MD,20619,19
April-2024,MD,20619,31
April-2023,MD,20620,3
April-2024,MD,20620,1
April-2023,MD,20621,3
April-2023,MD,20622,8
April-2024,MD,20622,13
April-2023,MD,20623,11
April-2024,MD,20623,6
April-2023,MD,20624,3
April-2024,MD,20624,5
April-2023,MD,20625,4
April-2024,MD,20625,3
April-2024,MD,20629,1
April-2023,MD,20630,1
April-2024,MD,20630,1
April-2024,MD,20632,1
April-2023,MD,20634,22
April-2024,MD,20634,19
April-2023,MD,20636,19
April-2024,MD,20636,13
April-2023,MD,20637,8
April-2024,MD,20637,10
April-2023,MD,20639,30
April-2024,MD,20639,39
April-2023,MD,20640,40
April-2024,MD,20640,43
April-2023,MD,20645,1
April-2024,MD,20645,3
April-2023,MD,20646,41
April-2024,MD,20646,49
April-2023,MD,20650,14
April-2024,MD,20650,20
April-2023,MD,20653,83
April-2024,MD,20653,75
April-2023,MD,20656,1
April-2023,MD,20657,82
April-2024,MD,20657,60
April-2023,MD,20658,1
April-2024,MD,20658,2
April-2023,MD,20659,62
April-2024,MD,20659,80
April-2023,MD,20662,12
April-2024,MD,20662,15
April-2023,MD,20664,19
April-2024,MD,20664,14
April-2024,MD,20670,1
April-2023,MD,20674,2
April-2024,MD,20674,2
April-2023,MD,20675,1
April-2024,MD,20675,4
April-2023,MD,20676,8
April-2024,MD,20676,11
April-2023,MD,20677,12
April-2024,MD,20677,8
April-2023,MD,20678,35
April-2024,MD,20678,44
April-2023,MD,20680,1
April-2024,MD,20680,5
April-2023,MD,20684,3
April-2024,MD,20684,3
April-2023,MD,20685,13
April-2024,MD,20685,20
April-2024,MD,20687,2
April-2023,MD,20688,8
April-2024,MD,20688,9
April-2023,MD,20689,1
April-2024,MD,20689,2
April-2023,MD,20690,1
April-2024,MD,20690,2
April-2023,MD,20692,5
April-2024,MD,20692,3
April-2023,MD,20693,1
April-2024,MD,20693,1
April-2023,MD,20695,36
April-2024,MD,20695,39
April-2023,MD,20701,1
April-2024,MD,20701,4
April-2024,MD,20702,1
April-2023,MD,20705,59
April-2024,MD,20705,71
April-2023,MD,20706,106
April-2024,MD,20706,119
April-2023,MD,20707,100
April-2024,MD,20707,135
April-2023,MD,20708,93
April-2024,MD,20708,85
April-2023,MD,20709,1
April-2023,MD,20710,20
April-2024,MD,20710,15
April-2023,MD,20711,14
April-2024,MD,20711,17
April-2023,MD,20712,11
April-2024,MD,20712,17
April-2024,MD,20713,1
April-2023,MD,20714,15
April-2024,MD,20714,16
April-2023,MD,20715,39
April-2024,MD,20715,64
April-2023,MD,20716,58
April-2024,MD,20716,55
April-2023,MD,20720,63
April-2024,MD,20720,84
April-2023,MD,20721,65
April-2024,MD,20721,69
April-2023,MD,20722,10
April-2024,MD,20722,8
April-2023,MD,20723,77
April-2024,MD,20723,94
April-2023,MD,20724,55
April-2024,MD,20724,60
April-2023,MD,20725,1
April-2023,MD,20732,21
April-2024,MD,20732,24
April-2023,MD,20733,7
April-2024,MD,20733,9
April-2023,MD,20735,82
April-2024,MD,20735,110
April-2023,MD,20736,9
April-2024,MD,20736,8
April-2023,MD,20737,43
April-2024,MD,20737,41
April-2023,MD,20740,40
April-2024,MD,20740,58
April-2023,MD,20741,1
April-2023,MD,20743,99
April-2024,MD,20743,120
April-2023,MD,20744,100
April-2024,MD,20744,113
April-2023,MD,20745,63
April-2024,MD,20745,91
April-2023,MD,20746,95
April-2024,MD,20746,110
April-2023,MD,20747,126
April-2024,MD,20747,133
April-2023,MD,20748,104
April-2024,MD,20748,98
April-2023,MD,20751,3
April-2024,MD,20751,3
April-2023,MD,20754,15
April-2024,MD,20754,16
April-2023,MD,20755,2
April-2024,MD,20755,8
April-2023,MD,20758,5
April-2024,MD,20758,1
April-2023,MD,20759,9
April-2024,MD,20759,5
April-2023,MD,20762,1
April-2024,MD,20762,1
April-2023,MD,20763,5
April-2024,MD,20763,5
April-2023,MD,20764,17
April-2024,MD,20764,19
April-2023,MD,20765,2
April-2024,MD,20765,1
April-2023,MD,20769,14
April-2024,MD,20769,13
April-2023,MD,20770,68
April-2024,MD,20770,79
April-2023,MD,20772,109
April-2024,MD,20772,135
April-2023,MD,20774,123
April-2024,MD,20774,137
April-2023,MD,20776,4
April-2024,MD,20776,7
April-2023,MD,20777,7
April-2024,MD,20777,8
April-2023,MD,20778,5
April-2024,MD,20778,4
April-2023,MD,20779,2
April-2024,MD,20779,3
April-2023,MD,20781,18
April-2024,MD,20781,16
April-2023,MD,20782,47
April-2024,MD,20782,60
April-2023,MD,20783,58
April-2024,MD,20783,71
April-2023,MD,20784,66
April-2024,MD,20784,63
April-2023,MD,20785,110
April-2024,MD,20785,124
April-2024,MD,20792,1
April-2023,MD,20794,25
April-2024,MD,20794,38
April-2023,MD,20814,25
April-2024,MD,20814,46
April-2023,MD,20815,26
April-2024,MD,20815,26
April-2023,MD,20816,6
April-2024,MD,20816,9
April-2023,MD,20817,26
April-2024,MD,20817,48
April-2023,MD,20818,2
April-2024,MD,20818,4
April-2023,MD,20832,29
April-2024,MD,20832,46
April-2023,MD,20833,8
April-2024,MD,20833,8
April-2023,MD,20837,10
April-2024,MD,20837,16
April-2024,MD,20839,1
April-2023,MD,20841,25
April-2024,MD,20841,27
April-2023,MD,20842,2
April-2024,MD,20842,2
April-2023,MD,20849,1
April-2023,MD,20850,93
April-2024,MD,20850,125
April-2023,MD,20851,25
April-2024,MD,20851,32
April-2023,MD,20852,74
April-2024,MD,20852,84
April-2023,MD,20853,29
April-2024,MD,20853,46
April-2023,MD,20854,30
April-2024,MD,20854,68
April-2023,MD,20855,29
April-2024,MD,20855,36
April-2023,MD,20859,1
April-2023,MD,20860,1
April-2024,MD,20860,5
April-2023,MD,20861,5
April-2024,MD,20861,7
April-2024,MD,20862,1
April-2023,MD,20866,32
April-2024,MD,20866,43
April-2023,MD,20868,3
April-2024,MD,20868,2
April-2023,MD,20871,47
April-2024,MD,20871,77
April-2023,MD,20872,19
April-2024,MD,20872,30
April-2023,MD,20874,151
April-2024,MD,20874,187
April-2023,MD,20875,1
April-2023,MD,20876,52
April-2024,MD,20876,66
April-2023,MD,20877,63
April-2024,MD,20877,87
April-2023,MD,20878,121
April-2024,MD,20878,166
April-2023,MD,20879,39
April-2024,MD,20879,59
April-2023,MD,20882,18
April-2024,MD,20882,14
April-2023,MD,20883,1
April-2023,MD,20885,1
April-2023,MD,20886,84
April-2024,MD,20886,83
April-2023,MD,20895,21
April-2024,MD,20895,27
April-2024,MD,20896,1
April-2023,MD,20898,1
April-2023,MD,20901,59
April-2024,MD,20901,52
April-2023,MD,20902,74
April-2024,MD,20902,89
April-2023,MD,20903,38
April-2024,MD,20903,28
April-2023,MD,20904,136
April-2024,MD,20904,120
April-2023,MD,20905,33
April-2024,MD,20905,26
April-2023,MD,20906,97
April-2024,MD,20906,132
April-2024,MD,20907,1
April-2023,MD,20910,84
April-2024,MD,20910,90
April-2023,MD,20912,32
April-2024,MD,20912,44
April-2024,MD,20916,1
April-2023,MD,21001,95
April-2024,MD,21001,124
April-2023,MD,21005,1
April-2024,MD,21005,2
April-2023,MD,21009,89
April-2024,MD,21009,113
April-2023,MD,21012,34
April-2024,MD,21012,29
April-2023,MD,21013,10
April-2024,MD,21013,15
April-2023,MD,21014,93
April-2024,MD,21014,102
April-2023,MD,21015,87
April-2024,MD,21015,86
April-2023,MD,21017,29
April-2024,MD,21017,30
April-2024,MD,21022,1
April-2023,MD,21028,7
April-2024,MD,21028,11
April-2023,MD,21029,12
April-2024,MD,21029,17
April-2023,MD,21030,63
April-2024,MD,21030,74
April-2023,MD,21032,11
April-2024,MD,21032,17
April-2023,MD,21034,17
April-2024,MD,21034,13
April-2023,MD,21035,14
April-2024,MD,21035,17
April-2023,MD,21036,4
April-2024,MD,21036,3
April-2023,MD,21037,45
April-2024,MD,21037,39
April-2023,MD,21040,116
April-2024,MD,21040,141
April-2023,MD,21042,47
April-2024,MD,21042,77
April-2023,MD,21043,59
April-2024,MD,21043,117
April-2023,MD,21044,91
April-2024,MD,21044,142
April-2023,MD,21045,113
April-2024,MD,21045,114
April-2023,MD,21046,39
April-2024,MD,21046,45
April-2023,MD,21047,24
April-2024,MD,21047,31
April-2023,MD,21048,15
April-2024,MD,21048,14
April-2023,MD,21050,41
April-2024,MD,21050,41
April-2023,MD,21051,2
April-2023,MD,21052,1
April-2024,MD,21052,3
April-2023,MD,21053,8
April-2024,MD,21053,9
April-2023,MD,21054,20
April-2024,MD,21054,32
April-2023,MD,21056,1
April-2023,MD,21057,7
April-2024,MD,21057,9
April-2023,MD,21060,146
April-2024,MD,21060,192
April-2023,MD,21061,202
April-2024,MD,21061,199
April-2023,MD,21071,2
April-2024,MD,21071,3
April-2023,MD,21072,1
April-2023,MD,21074,34
April-2024,MD,21074,31
April-2023,MD,21075,87
April-2024,MD,21075,108
April-2023,MD,21076,68
April-2024,MD,21076,77
April-2023,MD,21077,1
April-2023,MD,21078,75
April-2024,MD,21078,63
April-2024,MD,21079,1
April-2023,MD,21082,1
April-2023,MD,21084,23
April-2024,MD,21084,20
April-2023,MD,21085,63
April-2024,MD,21085,58
April-2023,MD,21087,16
April-2024,MD,21087,15
April-2023,MD,21090,39
April-2024,MD,21090,39
April-2023,MD,21093,67
April-2024,MD,21093,74
April-2023,MD,21102,30
April-2024,MD,21102,23
April-2023,MD,21104,4
April-2024,MD,21104,8
April-2023,MD,21108,31
April-2024,MD,21108,40
April-2023,MD,21111,12
April-2024,MD,21111,8
April-2023,MD,21113,103
April-2024,MD,21113,116
April-2023,MD,21114,53
April-2024,MD,21114,65
April-2023,MD,21117,223
April-2024,MD,21117,260
April-2023,MD,21120,16
April-2024,MD,21120,20
April-2023,MD,21122,212
April-2024,MD,21122,262
April-2024,MD,21124,1
April-2023,MD,21128,33
April-2024,MD,21128,42
April-2023,MD,21130,1
April-2024,MD,21130,1
April-2023,MD,21131,7
April-2024,MD,21131,23
April-2023,MD,21132,5
April-2024,MD,21132,8
April-2023,MD,21133,134
April-2024,MD,21133,135
April-2023,MD,21136,92
April-2024,MD,21136,112
April-2023,MD,21140,5
April-2024,MD,21140,5
April-2023,MD,21144,124
April-2024,MD,21144,139
April-2023,MD,21146,35
April-2024,MD,21146,46
April-2023,MD,21152,6
April-2024,MD,21152,11
April-2024,MD,21153,2
April-2023,MD,21154,24
April-2024,MD,21154,22
April-2023,MD,21155,4
April-2024,MD,21155,8
April-2024,MD,21156,1
April-2023,MD,21157,76
April-2024,MD,21157,86
April-2023,MD,21158,38
April-2024,MD,21158,47
April-2023,MD,21160,9
April-2024,MD,21160,10
April-2023,MD,21161,16
April-2024,MD,21161,17
April-2023,MD,21162,12
April-2024,MD,21162,11
April-2023,MD,21163,11
April-2024,MD,21163,11
April-2023,MD,21201,68
April-2024,MD,21201,101
April-2023,MD,21202,97
April-2024,MD,21202,104
April-2024,MD,21203,3
April-2023,MD,21204,33
April-2024,MD,21204,49
April-2023,MD,21205,47
April-2024,MD,21205,86
April-2023,MD,21206,234
April-2024,MD,21206,317
April-2023,MD,21207,221
April-2024,MD,21207,298
April-2023,MD,21208,84
April-2024,MD,21208,121
April-2023,MD,21209,75
April-2024,MD,21209,74
April-2023,MD,21210,11
April-2024,MD,21210,13
April-2023,MD,21211,53
April-2024,MD,21211,66
April-2023,MD,21212,107
April-2024,MD,21212,118
April-2023,MD,21213,156
April-2024,MD,21213,231
April-2023,MD,21214,81
April-2024,MD,21214,111
April-2023,MD,21215,269
April-2024,MD,21215,322
April-2023,MD,21216,148
April-2024,MD,21216,199
April-2023,MD,21217,147
April-2024,MD,21217,190
April-2023,MD,21218,183
April-2024,MD,21218,211
April-2023,MD,21219,28
April-2024,MD,21219,76
April-2023,MD,21220,170
April-2024,MD,21220,226
April-2023,MD,21221,176
April-2024,MD,21221,233
April-2023,MD,21222,249
April-2024,MD,21222,359
April-2023,MD,21223,118
April-2024,MD,21223,137
April-2023,MD,21224,139
April-2024,MD,21224,239
April-2023,MD,21225,129
April-2024,MD,21225,188
April-2023,MD,21226,34
April-2024,MD,21226,39
April-2023,MD,21227,113
April-2024,MD,21227,141
April-2023,MD,21228,98
April-2024,MD,21228,131
April-2023,MD,21229,229
April-2024,MD,21229,273
April-2023,MD,21230,117
April-2024,MD,21230,163
April-2023,MD,21231,42
April-2024,MD,21231,45
April-2023,MD,21234,227
April-2024,MD,21234,281
April-2023,MD,21236,132
April-2024,MD,21236,142
April-2023,MD,21237,122
April-2024,MD,21237,134
April-2023,MD,21239,125
April-2024,MD,21239,159
April-2023,MD,21244,151
April-2024,MD,21244,197
April-2023,MD,21260,2
April-2023,MD,21286,47
April-2024,MD,21286,59
April-2023,MD,21401,70
April-2024,MD,21401,77
April-2023,MD,21403,49
April-2024,MD,21403,69
April-2024,MD,21405,1
April-2023,MD,21409,29
April-2024,MD,21409,39
April-2023,MD,21502,145
April-2024,MD,21502,146
April-2023,MD,21503,2
April-2023,MD,21520,5
April-2024,MD,21520,9
April-2023,MD,21521,8
April-2024,MD,21521,3
April-2024,MD,21522,1
April-2023,MD,21523,2
April-2023,MD,21524,2
April-2024,MD,21524,5
April-2023,MD,21529,9
April-2024,MD,21529,4
April-2023,MD,21530,7
April-2024,MD,21530,8
April-2023,MD,21531,10
April-2024,MD,21531,13
April-2023,MD,21532,50
April-2024,MD,21532,65
April-2023,MD,21536,21
April-2024,MD,21536,19
April-2023,MD,21538,3
April-2024,MD,21538,2
April-2023,MD,21539,11
April-2024,MD,21539,16
April-2023,MD,21541,8
April-2024,MD,21541,8
April-2023,MD,21543,1
April-2023,MD,21545,9
April-2024,MD,21545,18
April-2023,MD,21550,29
April-2024,MD,21550,59
April-2023,MD,21552,1
April-2023,MD,21555,8
April-2024,MD,21555,5
April-2023,MD,21557,9
April-2024,MD,21557,8
April-2023,MD,21558,1
April-2023,MD,21561,10
April-2024,MD,21561,8
April-2023,MD,21562,10
April-2024,MD,21562,12
April-2023,MD,21601,53
April-2024,MD,21601,78
April-2023,MD,21610,2
April-2024,MD,21610,1
April-2024,MD,21611,1
April-2023,MD,21612,3
April-2024,MD,21612,5
April-2023,MD,21613,65
April-2024,MD,21613,86
April-2023,MD,21617,12
April-2024,MD,21617,20
April-2023,MD,21619,17
April-2024,MD,21619,20
April-2023,MD,21620,30
April-2024,MD,21620,35
April-2023,MD,21622,1
April-2024,MD,21622,2
April-2023,MD,21623,2
April-2024,MD,21623,6
April-2023,MD,21625,5
April-2024,MD,21625,11
April-2024,MD,21626,1
April-2024,MD,21628,2
April-2023,MD,21629,27
April-2024,MD,21629,24
April-2023,MD,21631,6
April-2024,MD,21631,5
April-2023,MD,21632,23
April-2024,MD,21632,20
April-2023,MD,21634,1
April-2024,MD,21634,2
April-2023,MD,21635,5
April-2024,MD,21635,9
April-2023,MD,21636,3
April-2023,MD,21638,16
April-2024,MD,21638,15
April-2023,MD,21639,19
April-2024,MD,21639,9
April-2023,MD,21640,4
April-2024,MD,21640,4
April-2024,MD,21641,1
April-2023,MD,21643,16
April-2024,MD,21643,36
April-2023,MD,21645,3
April-2024,MD,21645,2
April-2023,MD,21647,1
April-2024,MD,21647,6
April-2023,MD,21649,2
April-2024,MD,21649,2
April-2023,MD,21651,9
April-2024,MD,21651,8
April-2024,MD,21652,1
April-2024,MD,21653,1
April-2023,MD,21654,1
April-2024,MD,21654,2
April-2023,MD,21655,17
April-2024,MD,21655,19
April-2023,MD,21657,1
April-2024,MD,21657,1
April-2023,MD,21658,11
April-2024,MD,21658,10
April-2023,MD,21659,1
April-2023,MD,21660,12
April-2024,MD,21660,10
April-2023,MD,21661,13
April-2024,MD,21661,14
April-2023,MD,21662,4
April-2024,MD,21662,3
April-2023,MD,21663,16
April-2024,MD,21663,17
April-2023,MD,21664,1
April-2024,MD,21664,1
April-2023,MD,21665,1
April-2023,MD,21666,18
April-2024,MD,21666,29
April-2023,MD,21668,7
April-2024,MD,21668,5
