"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"60","24005402403","Census Tract 4024.03"," Baltimore County"," Maryland","median_income",44479,13364,"2010"
"61","24005402404","Census Tract 4024.04"," Baltimore County"," Maryland","number_households",2220,130,"2010"
"62","24005402404","Census Tract 4024.04"," Baltimore County"," Maryland","median_income",50495,11463,"2010"
"63","24005402405","Census Tract 4024.05"," Baltimore County"," Maryland","number_households",1387,97,"2010"
"64","24005402405","Census Tract 4024.05"," Baltimore County"," Maryland","median_income",47530,5218,"2010"
"65","24005402406","Census Tract 4024.06"," Baltimore County"," Maryland","number_households",2422,175,"2010"
"66","24005402406","Census Tract 4024.06"," Baltimore County"," Maryland","median_income",56837,4680,"2010"
"67","24005402407","Census Tract 4024.07"," Baltimore County"," Maryland","number_households",619,64,"2010"
"68","24005402407","Census Tract 4024.07"," Baltimore County"," Maryland","median_income",67531,10791,"2010"
"69","24005402503","Census Tract 4025.03"," Baltimore County"," Maryland","number_households",1825,106,"2010"
"70","24005402503","Census Tract 4025.03"," Baltimore County"," Maryland","median_income",43204,6040,"2010"
"71","24005402504","Census Tract 4025.04"," Baltimore County"," Maryland","number_households",1528,86,"2010"
"72","24005402504","Census Tract 4025.04"," Baltimore County"," Maryland","median_income",87976,15846,"2010"
"73","24005402505","Census Tract 4025.05"," Baltimore County"," Maryland","number_households",1311,100,"2010"
"74","24005402505","Census Tract 4025.05"," Baltimore County"," Maryland","median_income",54228,9810,"2010"
"75","24005402506","Census Tract 4025.06"," Baltimore County"," Maryland","number_households",1450,73,"2010"
"76","24005402506","Census Tract 4025.06"," Baltimore County"," Maryland","median_income",72059,11535,"2010"
"77","24005402509","Census Tract 4025.09"," Baltimore County"," Maryland","number_households",3692,140,"2010"
"78","24005402509","Census Tract 4025.09"," Baltimore County"," Maryland","median_income",73150,5420,"2010"
"79","24005402602","Census Tract 4026.02"," Baltimore County"," Maryland","number_households",686,60,"2010"
"80","24005402602","Census Tract 4026.02"," Baltimore County"," Maryland","median_income",64667,11322,"2010"
"81","24005402603","Census Tract 4026.03"," Baltimore County"," Maryland","number_households",2306,148,"2010"
"82","24005402603","Census Tract 4026.03"," Baltimore County"," Maryland","median_income",81223,7745,"2010"
"83","24005402604","Census Tract 4026.04"," Baltimore County"," Maryland","number_households",2196,93,"2010"
"84","24005402604","Census Tract 4026.04"," Baltimore County"," Maryland","median_income",79385,10335,"2010"
"85","24005403100","Census Tract 4031"," Baltimore County"," Maryland","number_households",936,63,"2010"
"86","24005403100","Census Tract 4031"," Baltimore County"," Maryland","median_income",62756,16657,"2010"
"87","24005403201","Census Tract 4032.01"," Baltimore County"," Maryland","number_households",1077,126,"2010"
"88","24005403201","Census Tract 4032.01"," Baltimore County"," Maryland","median_income",62697,15016,"2010"
"89","24005403202","Census Tract 4032.02"," Baltimore County"," Maryland","number_households",824,24,"2010"
"90","24005403202","Census Tract 4032.02"," Baltimore County"," Maryland","median_income",63553,12331,"2010"
"91","24005403300","Census Tract 4033"," Baltimore County"," Maryland","number_households",983,77,"2010"
"92","24005403300","Census Tract 4033"," Baltimore County"," Maryland","median_income",69627,6047,"2010"
"93","24005403401","Census Tract 4034.01"," Baltimore County"," Maryland","number_households",1782,75,"2010"
"94","24005403401","Census Tract 4034.01"," Baltimore County"," Maryland","median_income",49327,9578,"2010"
"95","24005403402","Census Tract 4034.02"," Baltimore County"," Maryland","number_households",2336,92,"2010"
"96","24005403402","Census Tract 4034.02"," Baltimore County"," Maryland","median_income",36226,8100,"2010"
"97","24005403500","Census Tract 4035"," Baltimore County"," Maryland","number_households",1593,85,"2010"
"98","24005403500","Census Tract 4035"," Baltimore County"," Maryland","median_income",78973,10237,"2010"
"99","24005403601","Census Tract 4036.01"," Baltimore County"," Maryland","number_households",2005,44,"2010"
"100","24005403601","Census Tract 4036.01"," Baltimore County"," Maryland","median_income",80284,13867,"2010"
