"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"7696","24033802001","Census Tract 8020.01"," Prince George's County"," Maryland","median_income",57830,7448,"2020"
"7697","24033802002","Census Tract 8020.02"," Prince George's County"," Maryland","number_households",1531,248,"2020"
"7698","24033802002","Census Tract 8020.02"," Prince George's County"," Maryland","median_income",91758,15004,"2020"
"7699","24033802103","Census Tract 8021.03"," Prince George's County"," Maryland","number_households",988,75,"2020"
"7700","24033802103","Census Tract 8021.03"," Prince George's County"," Maryland","median_income",93864,31278,"2020"
"7701","24033802104","Census Tract 8021.04"," Prince George's County"," Maryland","number_households",870,141,"2020"
"7702","24033802104","Census Tract 8021.04"," Prince George's County"," Maryland","median_income",66250,14548,"2020"
"7703","24033802106","Census Tract 8021.06"," Prince George's County"," Maryland","number_households",1895,186,"2020"
"7704","24033802106","Census Tract 8021.06"," Prince George's County"," Maryland","median_income",58884,6625,"2020"
"7705","24033802107","Census Tract 8021.07"," Prince George's County"," Maryland","number_households",1388,178,"2020"
"7706","24033802107","Census Tract 8021.07"," Prince George's County"," Maryland","median_income",62778,5398,"2020"
"7707","24033802201","Census Tract 8022.01"," Prince George's County"," Maryland","number_households",1340,219,"2020"
"7708","24033802201","Census Tract 8022.01"," Prince George's County"," Maryland","median_income",89853,11436,"2020"
"7709","24033802203","Census Tract 8022.03"," Prince George's County"," Maryland","number_households",1729,252,"2020"
"7710","24033802203","Census Tract 8022.03"," Prince George's County"," Maryland","median_income",56915,8561,"2020"
"7711","24033802204","Census Tract 8022.04"," Prince George's County"," Maryland","number_households",1925,165,"2020"
"7712","24033802204","Census Tract 8022.04"," Prince George's County"," Maryland","median_income",85891,7425,"2020"
"7713","24033802301","Census Tract 8023.01"," Prince George's County"," Maryland","number_households",1134,176,"2020"
"7714","24033802301","Census Tract 8023.01"," Prince George's County"," Maryland","median_income",83333,19863,"2020"
"7715","24033802404","Census Tract 8024.04"," Prince George's County"," Maryland","number_households",1810,200,"2020"
"7716","24033802404","Census Tract 8024.04"," Prince George's County"," Maryland","median_income",40595,16265,"2020"
"7717","24033802405","Census Tract 8024.05"," Prince George's County"," Maryland","number_households",1621,217,"2020"
"7718","24033802405","Census Tract 8024.05"," Prince George's County"," Maryland","median_income",64375,10580,"2020"
"7719","24033802406","Census Tract 8024.06"," Prince George's County"," Maryland","number_households",941,134,"2020"
"7720","24033802406","Census Tract 8024.06"," Prince George's County"," Maryland","median_income",55850,7418,"2020"
"7721","24033802407","Census Tract 8024.07"," Prince George's County"," Maryland","number_households",1928,322,"2020"
"7722","24033802407","Census Tract 8024.07"," Prince George's County"," Maryland","median_income",50521,8653,"2020"
"7723","24033802408","Census Tract 8024.08"," Prince George's County"," Maryland","number_households",955,122,"2020"
"7724","24033802408","Census Tract 8024.08"," Prince George's County"," Maryland","median_income",68024,16356,"2020"
"7725","24033802501","Census Tract 8025.01"," Prince George's County"," Maryland","number_households",1032,110,"2020"
"7726","24033802501","Census Tract 8025.01"," Prince George's County"," Maryland","median_income",51802,8035,"2020"
