Month,Container Tons,Auto Tons,Ro/Ro Tons (excl. autos),Forest Products (Break Bulk),Steel & other metals Break Bulk Tons,other Break Bulk Tons,Total General Cargo Tons,Import Loaded TEUs,Export Loaded TEUs,Total Loaded TEUs,Import Empty TEUs,Export Empty TEUs,Total Empty TEUs,Total TEUs,Total Containers,Import Auto Units,Export Auto Units,Total Auto UNITS,Import Ro/Ro Tons,Export Ro/Ro Tons
Jan 2024,716599,56332,92259,62397,199,12551,940337,48142,17612,65754,119,24554,24673,90427,53358,23214,5064,28278,73349,92259
Feb 2024,727033,49220,86065,68283,2445,7767,940813,45641,19554,65195,140,27152,27292,92487,54106,17642,6174,23816,60863,25202
Mar 2024,624526,56133,87613,24701,783,12104,805860,37996,16699,54695,6,20398,20404,75099,44793,22886,3538,26424,67431,20182
Apr 2024,1822,0,0,0,0,0,1822,102,108,210,0,1843,1843,2053,1386,0,0,0,0,0
May 2024,50160,49448,59599,28176,1017,7301,195701,3201,1916,5117,0,4821,4821,9938,5985,17382,6763,24145,46663,12936
Jun 2024,178836,56663,75013,69945,1278,11363,393142,6881,9956,16837,1921,5882,7803,24640,13420,19204,6681,25885,59184,15829
Jul 2024,364582,83541,84935,67970,1144,13124,615296,19828,12593,32421,2821,3295,6116,38537,22346,34111,6053,40164,67503,17432
Aug 2024,575634,87955,88874,42215,553,15738,810969,37479,16551,54030,3383,12771,16154,70184,40975,26980,12693,39673,68858,20016
Sep 2024,600022,86008,66156,62312,1258,13768,829524,42751,13643,56394,211,27538,27749,84143,49289,34044,6967,41011,46829,19327
Oct 2024,526700,72803,56889,23489,417,7200,687498,37221,12053,49274,94,22839,22933,72207,42427,21364,9838,31202,45205,11684
Nov 2024,719903,112552,84434,71229,902,17902,1006922,44375,21030,65405,83,20478,20561,85966,50420,37713,7524,45237,65513,18921
Dec 2024,727972,107839,66784,48758,537,15307,967197,48036,18287,66323,16,29195,29211,95534,55644,27943,9761,37704,51287,15497
