OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|OID_PLACE_10|GEOID_PLACE_10|NAMELSAD_PLACE_10|AREALAND_PLACE_10|AREAWATER_PLACE_10|MTFCC_PLACE_10|CLASSFP_PLACE_10|FUNCSTAT_PLACE_10|AREALAND_PART|AREAWATER_PART
28090286317618|2445550|Lanham CDP|9137451|49260|G4210|U1|S|28040286317618|2445550|Lanham CDP|9137451|49260|G4210|U1|S|9137451|49260
28090271390283|2445650|Lansdowne CDP|5895799|329902|G4210|U1|S|28040271390283|2445650|Lansdowne CDP|5895799|329902|G4210|U1|S|5895799|329902
27890151136959|2445750|La Plata town|19160071|70873|G4110|C1|A|||||||||749266|4169
27890151136959|2445750|La Plata town|19160071|70873|G4110|C1|A|27840151136959|2445750|La Plata town|19099539|129012|G4110|C1|A|18410805|66704
28090286317619|2445825|Largo CDP|7930010|1371|G4210|U1|S|28040286317619|2445825|Largo CDP|7930010|1371|G4210|U1|S|7930010|1371
27890286317620|2445900|Laurel city|12469949|61461|G4110|C1|A|||||||||629457|0
27890286317620|2445900|Laurel city|12469949|61461|G4110|C1|A|280403716512987|2444715|Konterra CDP|16370830|156586|G4210|U2|S|674544|0
27890286317620|2445900|Laurel city|12469949|61461|G4110|C1|A|27840286317620|2445900|Laurel city|11148803|61461|G4110|C1|A|11094557|61461
27890286317620|2445900|Laurel city|12469949|61461|G4110|C1|A|28040286317632|2473650|South Laurel CDP|21065686|88305|G4210|U1|S|21184|0
27890286317620|2445900|Laurel city|12469949|61461|G4110|C1|A|28040286317639|2483025|West Laurel CDP|5896709|263970|G4210|U1|S|50207|0
28090762616527|2446075|La Vale CDP|23602307|6788|G4210|U1|S|||||||||16696795|6409
28090762616527|2446075|La Vale CDP|23602307|6788|G4210|U1|S|28040762616527|2446075|La Vale CDP|6905512|379|G4210|U1|S|6905512|379
280903716513001|2446150|Layhill CDP|4114808|22267|G4210|U1|S|28040158088588|2402825|Aspen Hill CDP|24886255|206787|G4210|U1|S|140607|0
