County,County Name,Election District - Precinct,Congressional,Legislative,Office Name,Office District,Candidate Name,Party,Winner,Write-In?,Early Votes,Early Votes Against,Election Night Votes,Election Night Votes Against,Mail-In Ballot 1 Votes,Mail-In Ballot 1 Votes Against,Provisional Votes,Provisional Votes Against,Mail-In Ballot 2 Votes,Mail-In Ballot 2 Votes Against 
3,Baltimore City,001-001,7,46,Judge Orphans' Court,,"Charles ""Chuck"" Bernstein",DEM,Y,,99,,261,,74,,71,,67, 
3,Baltimore City,001-001,7,46,Judge Orphans' Court,,Lewyn Scott Garrett,DEM,Y,,95,,245,,72,,68,,66, 
3,Baltimore City,001-001,7,46,Judge Orphans' Court,,Michele E. Loewenthal,DEM,Y,,97,,278,,75,,71,,69, 
3,Baltimore City,001-001,7,46,Judge Orphans' Court,,Other Write-Ins,,,Y,1,,9,,0,,1,,0, 
3,Baltimore City,001-001,7,46,Sheriff,,Sam Cogen,DEM,Y,,121,,327,,96,,89,,81, 
3,Baltimore City,001-001,7,46,Sheriff,,Other Write-Ins,,,Y,1,,7,,0,,1,,1, 
3,Baltimore City,001-001,7,46,Board of Ed at Large,,April Christina Curley,NON,,,33,,93,,37,,25,,30, 
3,Baltimore City,001-001,7,46,Board of Ed at Large,,Ashley E. Esposito,NON,Y,,80,,199,,59,,42,,44, 
3,Baltimore City,001-001,7,46,Board of Ed at Large,,Salimah Jasani,NON,,,53,,159,,52,,25,,47, 
3,Baltimore City,001-001,7,46,Board of Ed at Large,,Kwame Kenyatta-Bey,NON,Y,,30,,93,,17,,32,,18, 
3,Baltimore City,001-001,7,46,Board of Ed at Large,,Other Write-Ins,,,Y,0,,4,,1,,2,,0, 
3,Baltimore City,001-002,7,46,Governor / Lt. Governor,,Dan Cox and Gordana Schifanelli,REP,,,11,,61,,6,,4,,2, 
3,Baltimore City,001-002,7,46,Governor / Lt. Governor,,Wes Moore and Aruna Miller,DEM,Y,,118,,412,,141,,74,,96, 
3,Baltimore City,001-002,7,46,Governor / Lt. Governor,,David Lashar and Christiana Logansmith,LIB,,,2,,9,,4,,1,,1, 
3,Baltimore City,001-002,7,46,Governor / Lt. Governor,,Nancy Wallace and Patrick Elder,GRN,,,0,,2,,1,,1,,0, 
3,Baltimore City,001-002,7,46,Governor / Lt. Governor,,David Harding and Cathy White,WCP,,,1,,5,,2,,0,,3, 
3,Baltimore City,001-002,7,46,Governor / Lt. Governor,,Kyle Sefcik and Katie Lee,UNA,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-002,7,46,Governor / Lt. Governor,,Other Write-Ins,,,Y,0,,2,,0,,1,,1, 
3,Baltimore City,001-002,7,46,Comptroller,,Barry Glassman,REP,,,15,,91,,18,,6,,9, 
3,Baltimore City,001-002,7,46,Comptroller,,Brooke Elizabeth Lierman,DEM,Y,,117,,396,,136,,75,,93, 
3,Baltimore City,001-002,7,46,Comptroller,,Other Write-Ins,,,Y,0,,1,,0,,1,,0, 
3,Baltimore City,001-002,7,46,Attorney General,,Michael Anthony Peroutka,REP,,,16,,81,,14,,6,,6, 
3,Baltimore City,001-002,7,46,Attorney General,,Anthony G. Brown,DEM,Y,,115,,402,,139,,74,,96, 
3,Baltimore City,001-002,7,46,Attorney General,,Other Write-Ins,,,Y,0,,1,,0,,1,,0, 
3,Baltimore City,001-002,7,46,U.S. Senator,,Chris Chaffee,REP,,,11,,68,,5,,5,,2, 
3,Baltimore City,001-002,7,46,U.S. Senator,,Chris Van Hollen,DEM,Y,,121,,413,,148,,77,,99, 
3,Baltimore City,001-002,7,46,U.S. Senator,,Scottie Griffin,DEM,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-002,7,46,U.S. Senator,,Andrew J. Wildman,UNA,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-002,7,46,U.S. Senator,,Other Write-Ins,,,Y,0,,2,,0,,0,,2, 
3,Baltimore City,001-002,7,46,U.S. Congress,7,Scott M. Collier,REP,,,13,,84,,11,,7,,3, 
3,Baltimore City,001-002,7,46,U.S. Congress,7,Kweisi Mfume,DEM,Y,,117,,395,,140,,72,,96, 
3,Baltimore City,001-002,7,46,U.S. Congress,7,Other Write-Ins,,,Y,0,,0,,0,,1,,2, 
3,Baltimore City,001-002,7,46,State Senator,46,Emmanuel Digman,REP,,,12,,66,,11,,5,,1, 
3,Baltimore City,001-002,7,46,State Senator,46,Bill Ferguson,DEM,Y,,118,,409,,139,,72,,99, 
3,Baltimore City,001-002,7,46,State Senator,46,Other Write-Ins,,,Y,0,,1,,0,,1,,1, 
3,Baltimore City,001-002,7,46,House of Delegates,46,Pete Waters,REP,,,15,,87,,12,,7,,9, 
3,Baltimore City,001-002,7,46,House of Delegates,46,Luke Clippinger,DEM,Y,,110,,356,,132,,58,,86, 
3,Baltimore City,001-002,7,46,House of Delegates,46,Mark Edelson,DEM,Y,,111,,355,,126,,62,,86, 
3,Baltimore City,001-002,7,46,House of Delegates,46,Robbyn Lewis,DEM,Y,,115,,350,,123,,66,,85, 
3,Baltimore City,001-002,7,46,House of Delegates,46,Other Write-Ins,,,Y,1,,4,,1,,0,,0, 
3,Baltimore City,001-002,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Erik Atas,JUD,Y,,61,,202,,79,,31,,45, 
3,Baltimore City,001-002,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Charles Mario Blomquist,JUD,Y,,60,,206,,77,,27,,44, 
3,Baltimore City,001-002,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Myshala E. Middleton,JUD,Y,,65,,240,,85,,43,,47, 
3,Baltimore City,001-002,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Barry G. Williams,JUD,Y,,62,,215,,80,,31,,44, 
3,Baltimore City,001-002,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Other Write-Ins,,,Y,0,,8,,0,,0,,0, 
3,Baltimore City,001-002,7,46,Judge Spec Appeal at Lg,,Stuart R. Berger,JUD,Y,,72,10,278,70,86,13,38,10,54,6
3,Baltimore City,001-002,7,46,Judge Spec Appeal at Lg,,Terrence M. R. Zic,JUD,Y,,69,10,273,69,74,24,41,8,46,12
3,Baltimore City,001-002,7,46,State's Attorney,,Ivan Bates,DEM,Y,,121,,431,,143,,68,,90, 
3,Baltimore City,001-002,7,46,State's Attorney,,Other Write-Ins,,,Y,0,,4,,0,,1,,1, 
3,Baltimore City,001-002,7,46,Clerk Circuit Court,,Xavier A. Conaway,DEM,Y,,94,,373,,111,,64,,79, 
3,Baltimore City,001-002,7,46,Clerk Circuit Court,,Other Write-Ins,,,Y,3,,10,,4,,0,,0, 
3,Baltimore City,001-002,7,46,Register of Wills,,Belinda K. Conaway,DEM,Y,,93,,378,,113,,64,,78, 
3,Baltimore City,001-002,7,46,Register of Wills,,Other Write-Ins,,,Y,1,,7,,1,,0,,0, 
