"","city","income_per_capita","census_response_rate2020","census_response_rate2010","nbanks_zip","pct_anymembershp_zip","zip","tot_pop","age_above65","median_age","white","black","asian","geoid1","tract"
"1","CUMBERLAND",24173.3831932773,0.706999957561493,0.729624629020691,10,0.551935017108917,21502,4069,0.138854755468174,42.8413615138855,0.7136888670435,0.225608257557139,0.0105677070533301,"2400100",24001000200
"2","CUMBERLAND",23170.736084453,NA,0.698555707931519,10,0.551935017108917,21502,2596,0.179892141756549,45.6102850539291,0.964175654853621,0.0184899845916795,0,"2400100",24001000300
"3","CUMBERLAND",24656.5590277778,NA,0.675912857055664,10,0.551935017108917,21502,2798,0.189421015010722,42.6404574696212,0.898856325947105,0.0718370264474625,0.00250178699070765,"2400100",24001000400
"4","CUMBERLAND",17300.087141339,0.455999970436096,0.675912857055664,10,0.551935017108917,21502,2401,0.210329029571012,46.7057059558517,0.770512286547272,0.149104539775094,0,"2400100",24001000500
"5","CUMBERLAND",21091.184566428,0.664000034332275,0.690999984741211,10,0.551935017108917,21502,2921,0.107839780896953,42.2149263950702,0.950359465936323,0.0369736391646696,0.00650462170489558,"2400100",24001000600
"6","CUMBERLAND",14933.3865384615,0.627000033855438,0.71699994802475,10,0.551935017108917,21502,3514,0.165907797381901,37.5968696642003,0.900682982356289,0.0674445076835515,0,"2400100",24001000700
"7","CUMBERLAND",15319.6511627907,0.532999992370605,0.641999959945679,10,0.551935017108917,21502,2366,0.104818258664413,33.1436601859679,0.869822485207101,0.0452240067624683,0.00422654268808115,"2400100",24001000800
"8","CUMBERLAND",16813.8961474037,0.515999972820282,0.698555707931519,10,0.551935017108917,21502,2411,0.173786810452095,48.3236831190377,0.907922024056408,0.0800497718788884,0.0037328909166321,"2400100",24001001000
"9","CUMBERLAND",22275,0.577000021934509,0.641999959945679,10,0.551935017108917,21502,1367,0.205559619604974,49.1,0.911485003657645,0.06949524506218,0.00585223116313094,"2400100",24001001100
"10","CUMBERLAND",34465.028157683,0.723000049591064,0.717342555522919,10,0.551935017108917,21502,3116,0.160462130937099,43.3597240051348,0.91816431322208,0.0250320924261874,0.0343388960205392,"2400100",24001001200
"11","CUMBERLAND",20858.885021097,0.718000054359436,0.712612330913544,10,0.551935017108917,21502,5134,0.0966108297623685,40.5043825477211,0.534281262173744,0.419361121932217,0,"2400100",24001001300
"12","CUMBERLAND",38532.6361940299,0.768999993801117,0.735516607761383,10,0.551935017108917,21502,3859,0.217413837781809,50.6170251360456,0.972272609484322,0.00336874838040943,0.0108836486136305,"2400100",24001001401
"13","CUMBERLAND",25081,0.736999988555908,0.763999998569489,10,0.551935017108917,21502,1517,0.168094924192485,44,0.943309162821358,0.044166117336849,0,"2400100",24001001402
"14","CUMBERLAND",23463,0.666999995708466,0.733557820320129,10,0.551935017108917,21502,2000,0.21,47.4,0.963,0.024,0,"2400100",24001001502
"15","MOUNT SAVAGE",22679.7291666667,0.655999958515167,0.594000041484833,NA,NA,21545,1965,0.157251908396947,41.9866157760814,0.982188295165394,0.0101781170483461,0,"2400100",24001001503
"16","FROSTBURG",28459,0.725000023841858,0.706118941307068,2,0.489351004362106,21532,1726,0.192931633835458,46.6,0.985515643105446,0.00637311703360371,0,"2400100",24001001600
"17","FROSTBURG",23826.7213504517,0.653000056743622,0.705999970436096,2,0.489351004362106,21532,4987,0.145779025466212,38.8966913976338,0.943252456386605,0.0104271104872669,0.0128333667535593,"2400100",24001001700
"18","FROSTBURG",18432.2697495183,0.522000014781952,0.703349351882935,2,0.489351004362106,21532,4900,0.0838775510204082,24.4471428571429,0.702244897959184,0.238571428571429,0.0338775510204082,"2400100",24001001800
"19","FROSTBURG",23214.2168674699,0.676999986171722,0.679742455482483,2,0.489351004362106,21532,3010,0.171760797342193,40.36,0.980066445182724,0.00365448504983389,0.00132890365448505,"2400100",24001001900
"20","CUMBERLAND",23487.4031971581,0.743000030517578,0.699000000953674,10,0.551935017108917,21502,5780,0.185813148788927,45.5862456747405,0.976470588235294,0.00657439446366782,0.0112456747404844,"2400100",24001002000
"21","LONACONING",20735.7381305638,0.646999955177307,0.71127188205719,NA,NA,21539,3305,0.180937972768533,44.4353101361573,0.990620272314675,0,0.000605143721633888,"2400100",24001002100
"22","WESTERNPORT",24149.6643041237,0.638999998569489,0.706121981143951,NA,NA,21562,3728,0.200107296137339,46.8908261802575,0.987124463519313,0.00214592274678112,0,"2400100",24001002200
"23","RIVA",51235.022587269,0.838000059127808,0.817373871803284,NA,NA,21140,4000,0.18375,44.83075,0.9745,0.01675,0.00575,"2400370",24003701101
"24","EDGEWATER",45348.5499186992,NA,0.737185597419739,10,0.57174402475357,21037,7734,0.0985259891388673,38.4660718903543,0.916343418670804,0.0140936126196018,0.021722265321955,"2400370",24003701102
"25","EDGEWATER",47102.3778712391,NA,0.733543395996094,10,0.57174402475357,21037,9048,0.120137046861185,42.0215517241379,0.945733863837312,0.0146993810786914,0,"2400370",24003701200
"26","DAVIDSONVILLE",62198.0661710037,NA,0.789569318294525,NA,NA,21035,7833,0.156772628622495,45.867253925699,0.866717732669475,0.0702157538618665,0.0131494957232223,"2400370",24003701300
"27","CROWNSVILLE",70263.5921958684,0.796999990940094,0.779000043869019,NA,NA,21032,7308,0.12903667214012,42.6103995621237,0.881089217296114,0.0618500273672687,0.0125889436234264,"2400370",24003702100
"28","CROFTON",55581.7193548387,0.898000001907349,0.818340003490448,5,0.540188014507294,21114,4217,0.132558691012568,41.0146312544463,0.842542091534266,0.0486127578847522,0.0675835902300213,"2400370",24003702204
