WeekEnding,County,RegularUI,PuaNew,PuaReclassified,PeucClaims
"February 01, 2025",DORCHESTER,12,0,0,0
"February 01, 2025",FREDERICK,82,0,0,0
"February 01, 2025",GARRETT,14,0,0,0
"February 01, 2025",HARFORD,89,0,0,0
"February 01, 2025",HOWARD,103,0,0,0
"February 01, 2025",KENT,7,0,0,0
"February 01, 2025",MONTGOMERY,284,0,0,0
"February 01, 2025",NON-MARYLAND,293,0,0,0
"February 01, 2025",PRINCE GEORGES,329,0,0,0
"February 01, 2025",QUEEN ANNES,20,0,0,0
"February 01, 2025",SOMERSET,13,0,0,0
"February 01, 2025",ST MARYS,14,0,0,0
"February 01, 2025",TALBOT,10,0,0,0
"February 01, 2025",Unknown,18,0,0,0
"February 01, 2025",WASHINGTON,63,0,0,0
"February 01, 2025",WICOMICO,45,0,0,0
"February 01, 2025",WORCESTER,32,0,0,0
"February 08, 2025",ALLEGANY,31,0,0,0
"February 08, 2025",ANNE ARUNDEL,205,0,0,0
"February 08, 2025",BALTIMORE,347,0,0,0
"February 08, 2025",BALTIMORE CITY,317,0,0,0
"February 08, 2025",CALVERT,31,0,0,0
"February 08, 2025",CAROLINE,10,0,0,0
"February 08, 2025",CARROLL,47,0,0,0
"February 08, 2025",CECIL,32,0,0,0
"February 08, 2025",CHARLES,45,0,0,0
"February 08, 2025",DORCHESTER,14,0,0,0
"February 08, 2025",FREDERICK,96,0,0,0
"February 08, 2025",GARRETT,9,0,0,0
"February 08, 2025",HARFORD,97,0,0,0
"February 08, 2025",HOWARD,99,0,0,0
"February 08, 2025",KENT,6,0,0,0
"February 08, 2025",MONTGOMERY,404,0,0,0
"February 08, 2025",NON-MARYLAND,437,0,0,0
"February 08, 2025",PRINCE GEORGES,277,0,0,0
"February 08, 2025",QUEEN ANNES,5,0,0,0
"February 08, 2025",SOMERSET,11,0,0,0
"February 08, 2025",ST MARYS,8,0,0,0
"February 08, 2025",TALBOT,14,0,0,0
"February 08, 2025",Unknown,27,0,0,0
"February 08, 2025",WASHINGTON,60,0,0,0
"February 08, 2025",WICOMICO,47,0,0,0
"February 08, 2025",WORCESTER,35,0,0,0
"February 15, 2025",ALLEGANY,40,0,0,0
"February 15, 2025",ANNE ARUNDEL,166,0,0,0
"February 15, 2025",BALTIMORE,346,0,0,0
"February 15, 2025",BALTIMORE CITY,286,0,0,0
"February 15, 2025",CALVERT,18,0,0,0
"February 15, 2025",CAROLINE,9,0,0,0
"February 15, 2025",CARROLL,62,0,0,0
"February 15, 2025",CECIL,21,0,0,0
"February 15, 2025",CHARLES,52,0,0,0
"February 15, 2025",DORCHESTER,10,0,0,0
"February 15, 2025",FREDERICK,81,0,0,0
"February 15, 2025",GARRETT,11,0,0,0
"February 15, 2025",HARFORD,93,0,0,0
"February 15, 2025",HOWARD,101,0,0,0
"February 15, 2025",KENT,6,0,0,0
"February 15, 2025",MONTGOMERY,329,0,0,0
"February 15, 2025",NON-MARYLAND,260,0,0,0
"February 15, 2025",PRINCE GEORGES,292,0,0,0
"February 15, 2025",QUEEN ANNES,10,0,0,0
"February 15, 2025",SOMERSET,6,0,0,0
"February 15, 2025",ST MARYS,13,0,0,0
"February 15, 2025",TALBOT,8,0,0,0
"February 15, 2025",Unknown,17,0,0,0
"February 15, 2025",WASHINGTON,44,0,0,0
"February 15, 2025",WICOMICO,37,0,0,0
"February 15, 2025",WORCESTER,22,0,0,0
"February 22, 2025",ALLEGANY,18,0,0,0
"February 22, 2025",ANNE ARUNDEL,158,0,0,0
"February 22, 2025",BALTIMORE,346,0,0,0
"February 22, 2025",BALTIMORE CITY,283,0,0,0
"February 22, 2025",CALVERT,20,0,0,0
"February 22, 2025",CAROLINE,15,0,0,0
"February 22, 2025",CARROLL,49,0,0,0
"February 22, 2025",CECIL,49,0,0,0
"February 22, 2025",CHARLES,61,0,0,0
"February 22, 2025",DORCHESTER,8,0,0,0
"February 22, 2025",FREDERICK,93,0,0,0
"February 22, 2025",GARRETT,10,0,0,0
"February 22, 2025",HARFORD,90,0,0,0
"February 22, 2025",HOWARD,104,0,0,0
"February 22, 2025",KENT,1,0,0,0
"February 22, 2025",MONTGOMERY,388,0,0,0
"February 22, 2025",NON-MARYLAND,317,0,0,0
"February 22, 2025",PRINCE GEORGES,346,0,0,0
"February 22, 2025",QUEEN ANNES,10,0,0,0
"February 22, 2025",SOMERSET,2,0,0,0
"February 22, 2025",ST MARYS,6,0,0,0
"February 22, 2025",TALBOT,13,0,0,0
"February 22, 2025",Unknown,19,0,0,0
"February 22, 2025",WASHINGTON,51,0,0,0
"February 22, 2025",WICOMICO,33,0,0,0
"February 22, 2025",WORCESTER,21,0,0,0
"March 01, 2025",ALLEGANY,18,0,0,0
"March 01, 2025",ANNE ARUNDEL,156,0,0,0
"March 01, 2025",BALTIMORE,323,0,0,0
"March 01, 2025",BALTIMORE CITY,247,0,0,0
"March 01, 2025",CALVERT,27,0,0,0
"March 01, 2025",CAROLINE,12,0,0,0
"March 01, 2025",CARROLL,49,0,0,0
"March 01, 2025",CECIL,26,0,0,0
"March 01, 2025",CHARLES,63,0,0,0
"March 01, 2025",DORCHESTER,16,0,0,0
"March 01, 2025",FREDERICK,97,0,0,0
"March 01, 2025",GARRETT,7,0,0,0
"March 01, 2025",HARFORD,70,0,0,0
"March 01, 2025",HOWARD,109,0,0,0
"March 01, 2025",KENT,2,0,0,0
"March 01, 2025",MONTGOMERY,345,0,0,0
"March 01, 2025",NON-MARYLAND,241,0,0,0
"March 01, 2025",PRINCE GEORGES,323,0,0,0
"March 01, 2025",QUEEN ANNES,10,0,0,0
"March 01, 2025",SOMERSET,7,0,0,0
"March 01, 2025",ST MARYS,9,0,0,0
"March 01, 2025",TALBOT,9,0,0,0
"March 01, 2025",Unknown,20,0,0,0
"March 01, 2025",WASHINGTON,55,0,0,0
"March 01, 2025",WICOMICO,36,0,0,0
"March 01, 2025",WORCESTER,12,0,0,0
"March 08, 2025",ALLEGANY,27,0,0,0
"March 08, 2025",ANNE ARUNDEL,220,0,0,0
"March 08, 2025",BALTIMORE,393,0,0,0
"March 08, 2025",BALTIMORE CITY,310,0,0,0
"March 08, 2025",CALVERT,27,0,0,0
"March 08, 2025",CAROLINE,9,0,0,0
"March 08, 2025",CARROLL,43,0,0,0
"March 08, 2025",CECIL,40,0,0,0
"March 08, 2025",CHARLES,74,0,0,0
"March 08, 2025",DORCHESTER,24,0,0,0
"March 08, 2025",FREDERICK,118,0,0,0
"March 08, 2025",GARRETT,9,0,0,0
"March 08, 2025",HARFORD,84,0,0,0
"March 08, 2025",HOWARD,121,0,0,0
"March 08, 2025",KENT,3,0,0,0
"March 08, 2025",MONTGOMERY,425,0,0,0
"March 08, 2025",NON-MARYLAND,252,0,0,0
"March 08, 2025",PRINCE GEORGES,369,0,0,0
"March 08, 2025",QUEEN ANNES,15,0,0,0
"March 08, 2025",SOMERSET,4,0,0,0
"March 08, 2025",ST MARYS,9,0,0,0
"March 08, 2025",TALBOT,9,0,0,0
"March 08, 2025",Unknown,26,0,0,0
"March 08, 2025",WASHINGTON,46,0,0,0
"March 08, 2025",WICOMICO,34,0,0,0
"March 08, 2025",WORCESTER,13,0,0,0
"March 15, 2025",ALLEGANY,17,0,0,0
"March 15, 2025",ANNE ARUNDEL,151,0,0,0
"March 15, 2025",BALTIMORE,328,0,0,0
"March 15, 2025",BALTIMORE CITY,308,0,0,0
"March 15, 2025",CALVERT,23,0,0,0
"March 15, 2025",CAROLINE,18,0,0,0
"March 15, 2025",CARROLL,32,0,0,0
"March 15, 2025",CECIL,28,0,0,0
"March 15, 2025",CHARLES,61,0,0,0
"March 15, 2025",DORCHESTER,16,0,0,0
"March 15, 2025",FREDERICK,91,0,0,0
"March 15, 2025",GARRETT,5,0,0,0
"March 15, 2025",HARFORD,81,0,0,0
"March 15, 2025",HOWARD,104,0,0,0
"March 15, 2025",KENT,5,0,0,0
"March 15, 2025",MONTGOMERY,328,0,0,0
"March 15, 2025",NON-MARYLAND,278,0,0,0
