WeekEnding,County,RegularUI,PuaNew,PuaReclassified,PeucClaims
"August 03, 2024",DORCHESTER,12,0,0,0
"August 03, 2024",FREDERICK,84,0,0,0
"August 03, 2024",GARRETT,4,0,0,0
"August 03, 2024",HARFORD,91,0,0,0
"August 03, 2024",HOWARD,89,0,0,0
"August 03, 2024",KENT,2,0,0,0
"August 03, 2024",MONTGOMERY,224,0,0,0
"August 03, 2024",NON-MARYLAND,188,0,0,0
"August 03, 2024",PRINCE GEORGES,309,0,0,0
"August 03, 2024",QUEEN ANNES,10,0,0,0
"August 03, 2024",SOMERSET,6,0,0,0
"August 03, 2024",ST MARYS,11,0,0,0
"August 03, 2024",TALBOT,12,0,0,0
"August 03, 2024",Unknown,19,0,0,0
"August 03, 2024",WASHINGTON,88,0,0,0
"August 03, 2024",WICOMICO,40,0,0,0
"August 03, 2024",WORCESTER,8,0,0,0
"August 10, 2024",ALLEGANY,24,0,0,0
"August 10, 2024",ANNE ARUNDEL,210,0,0,0
"August 10, 2024",BALTIMORE,329,0,0,0
"August 10, 2024",BALTIMORE CITY,337,0,0,0
"August 10, 2024",CALVERT,31,0,0,0
"August 10, 2024",CAROLINE,10,0,0,0
"August 10, 2024",CARROLL,43,0,0,0
"August 10, 2024",CECIL,30,0,0,0
"August 10, 2024",CHARLES,71,0,0,0
"August 10, 2024",DORCHESTER,15,0,0,0
"August 10, 2024",FREDERICK,69,0,0,0
"August 10, 2024",GARRETT,6,0,0,0
"August 10, 2024",HARFORD,80,0,0,0
"August 10, 2024",HOWARD,84,0,0,0
"August 10, 2024",KENT,3,0,0,0
"August 10, 2024",MONTGOMERY,237,0,0,1
"August 10, 2024",NON-MARYLAND,269,0,0,0
"August 10, 2024",PRINCE GEORGES,282,0,0,0
"August 10, 2024",QUEEN ANNES,14,0,0,0
"August 10, 2024",SOMERSET,7,0,0,0
"August 10, 2024",ST MARYS,17,0,0,0
"August 10, 2024",TALBOT,14,0,0,0
"August 10, 2024",Unknown,11,0,0,0
"August 10, 2024",WASHINGTON,105,0,0,0
"August 10, 2024",WICOMICO,22,0,0,0
"August 10, 2024",WORCESTER,13,0,0,0
"August 17, 2024",ALLEGANY,16,0,0,0
"August 17, 2024",ANNE ARUNDEL,165,0,0,0
"August 17, 2024",BALTIMORE,334,0,0,0
"August 17, 2024",BALTIMORE CITY,282,0,0,0
"August 17, 2024",CALVERT,25,0,0,0
"August 17, 2024",CAROLINE,8,0,0,0
"August 17, 2024",CARROLL,25,0,0,0
"August 17, 2024",CECIL,21,0,0,0
"August 17, 2024",CHARLES,67,0,0,0
"August 17, 2024",DORCHESTER,10,0,0,0
"August 17, 2024",FREDERICK,68,0,0,0
"August 17, 2024",GARRETT,9,0,0,0
"August 17, 2024",HARFORD,70,0,0,0
"August 17, 2024",HOWARD,69,0,0,0
"August 17, 2024",KENT,6,0,0,0
"August 17, 2024",MONTGOMERY,195,0,0,0
"August 17, 2024",NON-MARYLAND,168,0,0,0
"August 17, 2024",PRINCE GEORGES,270,0,0,0
"August 17, 2024",QUEEN ANNES,6,0,0,0
"August 17, 2024",SOMERSET,5,0,0,0
"August 17, 2024",ST MARYS,12,0,0,0
"August 17, 2024",TALBOT,9,0,0,0
"August 17, 2024",Unknown,24,0,0,0
"August 17, 2024",WASHINGTON,58,0,0,0
"August 17, 2024",WICOMICO,33,0,0,0
"August 17, 2024",WORCESTER,15,0,0,0
"August 24, 2024",ALLEGANY,15,0,0,0
"August 24, 2024",ANNE ARUNDEL,151,0,0,0
"August 24, 2024",BALTIMORE,294,0,0,0
"August 24, 2024",BALTIMORE CITY,268,0,0,0
"August 24, 2024",CALVERT,17,0,0,0
"August 24, 2024",CAROLINE,10,0,0,0
"August 24, 2024",CARROLL,36,0,0,0
"August 24, 2024",CECIL,26,0,0,0
"August 24, 2024",CHARLES,53,0,0,0
"August 24, 2024",DORCHESTER,11,0,0,0
"August 24, 2024",FREDERICK,65,0,0,0
"August 24, 2024",GARRETT,4,0,0,0
"August 24, 2024",HARFORD,70,0,0,0
"August 24, 2024",HOWARD,62,0,0,0
"August 24, 2024",KENT,4,0,0,0
"August 24, 2024",MONTGOMERY,204,0,0,0
"August 24, 2024",NON-MARYLAND,229,0,0,0
"August 24, 2024",PRINCE GEORGES,290,0,0,0
"August 24, 2024",QUEEN ANNES,10,0,0,0
"August 24, 2024",SOMERSET,5,0,0,0
"August 24, 2024",ST MARYS,6,0,0,0
"August 24, 2024",TALBOT,13,0,0,0
"August 24, 2024",Unknown,16,0,0,0
"August 24, 2024",WASHINGTON,90,0,0,0
"August 24, 2024",WICOMICO,22,0,0,0
"August 24, 2024",WORCESTER,11,0,0,0
"August 31, 2024",ALLEGANY,21,0,0,0
"August 31, 2024",ANNE ARUNDEL,118,0,0,0
"August 31, 2024",BALTIMORE,303,0,0,0
"August 31, 2024",BALTIMORE CITY,253,0,0,0
"August 31, 2024",CALVERT,12,0,0,0
"August 31, 2024",CAROLINE,9,0,0,0
"August 31, 2024",CARROLL,32,0,0,0
"August 31, 2024",CECIL,19,0,0,0
"August 31, 2024",CHARLES,44,0,0,0
"August 31, 2024",DORCHESTER,9,0,0,0
"August 31, 2024",FREDERICK,68,0,0,0
"August 31, 2024",GARRETT,7,0,0,0
"August 31, 2024",HARFORD,69,0,0,0
"August 31, 2024",HOWARD,56,0,0,0
"August 31, 2024",KENT,5,0,0,0
"August 31, 2024",MONTGOMERY,203,0,0,0
"August 31, 2024",NON-MARYLAND,190,0,0,0
"August 31, 2024",PRINCE GEORGES,254,0,0,0
"August 31, 2024",QUEEN ANNES,12,0,0,0
"August 31, 2024",SOMERSET,9,0,0,0
"August 31, 2024",ST MARYS,5,0,0,0
"August 31, 2024",TALBOT,7,0,0,0
"August 31, 2024",Unknown,19,0,0,0
"August 31, 2024",WASHINGTON,51,0,0,0
"August 31, 2024",WICOMICO,31,0,0,0
"August 31, 2024",WORCESTER,18,0,0,0
"September 07, 2024",ALLEGANY,27,0,0,0
"September 07, 2024",ANNE ARUNDEL,111,0,0,0
"September 07, 2024",BALTIMORE,319,0,0,0
"September 07, 2024",BALTIMORE CITY,229,0,0,0
"September 07, 2024",CALVERT,23,0,0,0
"September 07, 2024",CAROLINE,10,0,0,0
"September 07, 2024",CARROLL,23,0,0,0
"September 07, 2024",CECIL,30,0,0,0
"September 07, 2024",CHARLES,39,0,0,0
"September 07, 2024",DORCHESTER,12,0,0,0
"September 07, 2024",FREDERICK,66,0,0,0
"September 07, 2024",GARRETT,10,0,0,0
"September 07, 2024",HARFORD,77,0,0,0
"September 07, 2024",HOWARD,79,0,0,0
"September 07, 2024",KENT,1,0,0,0
"September 07, 2024",MONTGOMERY,219,0,0,0
"September 07, 2024",NON-MARYLAND,197,0,0,0
"September 07, 2024",PRINCE GEORGES,235,0,0,0
"September 07, 2024",QUEEN ANNES,12,0,0,0
"September 07, 2024",SOMERSET,5,0,0,0
"September 07, 2024",ST MARYS,13,0,0,0
"September 07, 2024",TALBOT,20,0,0,0
"September 07, 2024",Unknown,13,0,0,0
"September 07, 2024",WASHINGTON,66,0,0,0
"September 07, 2024",WICOMICO,29,0,0,0
"September 07, 2024",WORCESTER,17,0,0,0
"September 14, 2024",ALLEGANY,15,0,0,0
"September 14, 2024",ANNE ARUNDEL,131,0,0,0
"September 14, 2024",BALTIMORE,316,0,0,0
"September 14, 2024",BALTIMORE CITY,279,0,0,0
"September 14, 2024",CALVERT,23,0,0,0
"September 14, 2024",CAROLINE,10,0,0,0
"September 14, 2024",CARROLL,37,0,0,0
"September 14, 2024",CECIL,38,0,0,0
"September 14, 2024",CHARLES,58,0,0,0
"September 14, 2024",DORCHESTER,9,0,0,0
"September 14, 2024",FREDERICK,66,0,0,0
"September 14, 2024",GARRETT,7,0,0,0
"September 14, 2024",HARFORD,81,0,0,0
"September 14, 2024",HOWARD,83,0,0,0
"September 14, 2024",KENT,5,0,0,0
"September 14, 2024",MONTGOMERY,222,0,0,0
"September 14, 2024",NON-MARYLAND,177,0,0,0
"September 14, 2024",PRINCE GEORGES,243,0,0,0
"September 14, 2024",QUEEN ANNES,10,0,0,0
"September 14, 2024",SOMERSET,10,0,0,0
"September 14, 2024",ST MARYS,15,0,0,0
"September 14, 2024",TALBOT,6,0,0,0
"September 14, 2024",Unknown,7,0,0,0
"September 14, 2024",WASHINGTON,67,0,0,0
"September 14, 2024",WICOMICO,37,0,0,0
"September 14, 2024",WORCESTER,24,0,0,0
